INSTITUIÇÃO;CONTRATO;TIPO PESSOA;DOCUMENTO;FINANCIADO;UF;ULTIMO EVENTO;DATA;HORA;PROTESTO;TAGS;BOLETO Á VENCER;PASTA(AT);PASTA(AT)ABERTA;PASTA(AD);PASTA(AD)ABERTA;HOT;BOM;INDEFINIDO;RUIM;R$ VENCIDAS;R$ VINCENDAS;R$ VENCIDAS + VINCENDAS;DIAS DE ATRASO;PARCELAS ATRASADAS;1º PARCELA;QTDE. PARCELAS RESTANTES;PLANO;DETALHE EVENTO;USÚARIO;BENS;BOLETO GERADO POR;CODIGO PESSOA;TIPO PESSOA.1;MARCA;MODELO;CHASSIS;PLACA;RENAVAM;COR;ANO;COMBUSTIVEL
Aparecida Andrade e Filhos;6506113;Física;518.763.409-75;Clarice Pinto;ES;Negociação;2024-09-08;10:23:37;Não;Fidelizado;0;False;False;False;False;True;False;False;True;8432.48;4146.21;6186.31;282;2;2024-05-15;14;D;Quos cumque quo omnis corrupti.;calebeda-rosa;Casa;Sistema A;5281320;Jurídica;Montenegro Moura e Filhos;veniam;3124938220;XBZ-3X11;15591876814;Preto;2010;Diesel
Monteiro Monteiro Ltda.;3322196;Física;721.659.840-76;Otto Garcia;AC;Negociação;2024-08-28;00:22:45;Não;Recente;0;False;True;True;False;True;False;True;True;1956.42;2272.81;4148.6;119;8;2024-03-22;34;B;Eligendi soluta libero assumenda esse.;xda-cruz;Terreno;Sistema A;6261628;Física;Silveira;tenetur;3201481065;PXO-0U76;18865639650;Preto;2001;Diesel
Dias Moreira - ME;8758860;Física;62.017.895/0001-24;Fernando Fogaça;RO;Pagamento;2024-05-25;04:10:44;Sim;Inadimplente;5;False;True;True;True;True;False;True;False;4956.43;381.5;19586.62;60;6;2024-02-11;39;B;Accusamus unde temporibus voluptate fugit repellendus.;pedro-henrique36;Casa;Sistema A;9241134;Jurídica;Camargo;laboriosam;2656875598;FAW-0I97;30355616762;Azul;2018;Híbrido
Pinto;3953761;Física;796.045.832-47;Bárbara Marques;PI;Pagamento;2024-02-11;09:21:10;Sim;Cliente VIP;0;False;False;True;False;False;False;True;False;9442.57;8568.36;296.27;316;4;2024-03-29;27;D;Veritatis ea voluptates.;gabriela85;Moto;Sistema B;1299094;Jurídica;Ramos;aspernatur;7705451019;QFK-4X64;76452322769;Branco;2023;Gasolina
Machado da Cunha - EI;1104503;Física;501.642.739-99;Henry Gabriel Duarte;RN;Negociação;2024-08-12;03:24:13;Sim;Recente;3;True;False;True;True;False;False;True;True;9718.77;9280.99;617.44;95;5;2024-07-13;4;D;Aspernatur sapiente libero.;luan60;Moto;Sistema A;9172546;Física;Leão;expedita;8309432478;YNK-1C60;60074717400;Azul;2008;Híbrido
Siqueira Cunha - ME;6803480;Física;062.941.837-31;Arthur Gabriel da Cruz;GO;Negociação;2024-01-28;09:00:09;Sim;Inadimplente;0;True;True;True;False;False;True;False;True;7044.09;995.72;521.59;51;10;2024-02-04;56;B;Est officia tempore consequatur nesciunt.;fernandesluan;Casa;Sistema C;7973370;Física;Sales;laudantium;0191912514;FQN-5R72;00937841654;Branco;2014;Gasolina
Ribeiro;9187700;Física;938.126.475-91;Lívia Freitas;SP;Negociação;2024-02-29;19:44:53;Não;Fidelizado;0;True;True;False;False;False;False;True;True;550.02;2986.34;8568.61;318;7;2024-10-01;33;C;Eos esse beatae commodi.;eda-cruz;Moto;Sistema A;5871272;Física;da Conceição - ME;a;8301144762;FHF-0V19;55542628549;Preto;2005;Híbrido
Borges;8947025;Jurídica;79.613.520/0001-20;Diego das Neves;RO;Protesto;2024-04-18;15:26:39;Não;Inadimplente;4;False;True;False;True;True;True;True;False;8990.9;4947.09;914.84;185;8;2024-04-20;51;C;Molestiae ad dignissimos odio expedita.;benjaminnogueira;Carro;Sistema C;9492431;Jurídica;Sousa;ex;6817567339;EHW-8K65;33124019783;Prata;2010;Diesel
Oliveira;0367205;Física;754.906.328-10;Joaquim Santos;DF;Pagamento;2024-09-26;21:23:40;Sim;Recente;2;False;True;False;False;False;True;False;False;8974.86;9410.25;9939.35;133;2;2024-04-03;23;A;Eius enim quos.;talbuquerque;Moto;Sistema A;5152215;Física;Cardoso da Conceição S/A;ea;3235974080;BNF-2F01;51250873020;Branco;2003;GNV
Cirino;6066003;Física;341.768.025-53;Olivia Nunes;PR;Atraso;2024-06-08;04:06:29;Sim;Inadimplente;1;True;False;True;True;True;True;True;True;8368.78;6060.82;15599.47;215;3;2024-03-12;52;A;Soluta necessitatibus dignissimos dolorem itaque dolorum.;gnogueira;Casa;Sistema A;2696412;Jurídica;Pires;tenetur;1049859765;VCC-3F00;50934135174;Preto;2004;Etanol
Lima Montenegro S.A.;5305436;Física;358.209.614-98;Melissa Monteiro;GO;Atraso;2024-07-08;18:52:48;Sim;Fidelizado;1;False;False;True;True;False;False;False;False;8045.06;8564.25;12117.04;222;8;2024-06-05;56;A;Mollitia fugiat accusantium aperiam deleniti vel.;rvieira;Casa;Sistema A;2128549;Física;da Costa;atque;9213151456;CKK-8J20;64756636954;Vermelho;2001;Híbrido
Teixeira - ME;4102179;Física;12.435.069/0001-27;Luigi Nogueira;MA;Pagamento;2024-06-29;17:00:46;Não;Inadimplente;2;False;False;False;False;True;False;False;False;5105.32;3706.0;6062.58;18;2;2024-02-12;42;D;Nam vitae voluptatum.;henry-gabriel69;Terreno;Sistema A;4218251;Jurídica;Costa;labore;5910349214;LAW-3L49;20254784186;Azul;2010;Híbrido
Montenegro e Filhos;9289840;Física;378.156.924-19;Luiz Felipe Pimenta;MG;Negociação;2024-01-09;22:12:53;Não;Inadimplente;4;False;False;True;False;True;False;True;False;959.0;3744.82;11712.26;43;5;2024-05-25;40;B;Repellendus saepe numquam aut.;maite66;Casa;Sistema C;8664559;Jurídica;Araújo;nobis;9180188233;GVF-2E81;43840194185;Branco;2019;Etanol
Azevedo S.A.;2568663;Física;826.103.795-95;Antonella Sousa;RS;Protesto;2024-04-08;18:05:49;Não;Recente;3;True;False;True;True;False;True;True;False;964.93;4455.91;9636.16;173;0;2024-01-18;39;A;Quibusdam eos cupiditate nulla eveniet.;olivercosta;Terreno;Sistema A;3979144;Jurídica;Cavalcanti S.A.;dolorum;3458295852;NJV-7L68;78130428091;Vermelho;2005;Etanol
Teixeira;2883597;Jurídica;627.513.408-90;Maria Isis Correia;CE;Pagamento;2024-03-27;07:34:19;Sim;Inadimplente;1;True;True;False;False;False;True;True;False;2743.5;5493.86;11766.96;331;1;2024-06-15;43;A;Est laborum laboriosam sit.;aragaopietro;Carro;Sistema B;1703489;Física;Sá e Filhos;totam;2936728853;MLW-0O02;95921836386;Branco;2015;Gasolina
Albuquerque;1322965;Jurídica;362.159.748-46;Srta. Ana Laura Lopes;PA;Protesto;2024-03-15;08:00:41;Não;Recente;4;True;True;False;False;False;True;True;True;5962.05;2828.24;10621.45;179;8;2024-07-11;13;C;Recusandae ex laborum cupiditate.;kmarques;Moto;Sistema C;242205;Jurídica;Rios S.A.;porro;5324365969;QVA-4A26;10542709706;Preto;2019;Diesel
Fernandes;6358528;Física;065.397.142-70;Dr. Guilherme Novais;GO;Protesto;2024-02-05;13:16:24;Não;Recente;1;True;False;False;False;False;True;True;False;3418.08;1980.91;258.5;332;4;2024-05-30;15;C;Magni atque vitae.;fduarte;Casa;Sistema C;7084589;Jurídica;Sales Dias e Filhos;in;7134820527;XWN-7R11;45045614975;Preto;2023;Gasolina
da Rosa Cavalcante e Filhos;1265510;Física;560.479.813-48;Caleb Cavalcante;MA;Pagamento;2024-04-20;10:59:19;Não;Recente;1;False;True;True;True;False;False;True;False;6914.26;5645.69;19296.51;115;1;2024-04-21;52;D;Eum illum ducimus libero aperiam.;stephany21;Carro;Sistema A;438549;Física;Mendes Moreira S.A.;ea;3656678382;CTQ-9B35;03872348099;Azul;2011;Etanol
Moreira e Filhos;0198316;Jurídica;963.701.248-69;Sr. Vicente Barbosa;MA;Pagamento;2024-09-12;00:40:12;Não;Inadimplente;1;True;False;True;True;True;True;True;True;6473.22;6782.04;5218.67;154;8;2024-06-08;56;D;Nihil pariatur ipsam accusamus veniam.;bentomendonca;Moto;Sistema A;1992112;Jurídica;Fonseca Souza - EI;porro;9968332295;UJM-1D53;36401264016;Branco;2002;Híbrido
Montenegro;6351352;Física;80.215.379/0001-96;Dante da Rocha;PB;Protesto;2024-05-16;12:02:24;Sim;Recente;3;False;False;True;True;False;False;True;True;5086.31;5685.08;14511.58;169;4;2024-01-24;14;A;Magni voluptates aperiam non voluptatum.;mariahjesus;Terreno;Sistema B;3953794;Jurídica;Melo;dolores;0242514610;FKB-0X03;88713771177;Vermelho;2002;Híbrido
Andrade da Cunha Ltda.;6336735;Física;35.812.976/0001-43;Dr. Asafe Sampaio;TO;Pagamento;2024-07-18;10:15:32;Não;Inadimplente;5;True;True;True;False;True;True;True;True;4461.22;9976.9;17020.55;341;0;2024-01-22;9;C;Quaerat dignissimos minima esse.;benicio47;Moto;Sistema C;7103486;Jurídica;da Conceição;corrupti;4240608616;NFM-4B63;31290041743;Azul;2017;GNV
Borges;2350025;Física;87.493.265/0001-57;Cecília Santos;RO;Protesto;2024-07-09;05:42:25;Sim;Cliente VIP;2;True;True;True;True;False;True;False;True;4630.03;5117.75;3873.36;101;4;2024-06-03;10;D;Facere perferendis nam.;luiza82;Moto;Sistema A;4020599;Física;da Conceição;repellendus;6623947986;LUG-0Y39;38765570070;Vermelho;2012;Híbrido
Garcia;0522252;Jurídica;54.086.713/0001-49;Diego Sá;AL;Pagamento;2024-02-28;07:18:52;Não;Fidelizado;5;False;False;True;False;True;True;False;True;5770.91;3686.3;15822.98;133;3;2024-03-27;60;C;A quisquam totam occaecati amet.;beatrizrodrigues;Moto;Sistema C;6936580;Jurídica;Correia;nulla;9684060577;KYE-6Q23;12698613665;Azul;2017;Híbrido
Nogueira;2433429;Física;976.835.204-38;Daniel Teixeira;MS;Pagamento;2024-07-07;14:51:35;Não;Fidelizado;3;True;True;False;True;True;False;False;True;6304.24;3556.82;16718.58;21;9;2024-04-04;60;A;Voluptatibus velit veritatis eligendi aliquid.;emanuella42;Casa;Sistema A;2734440;Física;Macedo Brito - EI;architecto;8532279489;KUL-4E39;88768779584;Prata;2012;Diesel
Borges;1129904;Jurídica;20.891.537/0001-04;Nina Montenegro;PR;Atraso;2024-08-16;15:55:15;Sim;Recente;1;False;False;False;False;True;True;False;True;4928.99;1765.34;15815.26;178;6;2024-02-29;14;D;Eaque ipsum voluptates.;rodriguesantony;Moto;Sistema B;9896643;Jurídica;Viana S/A;cum;4606334441;QZK-6T94;44575220144;Azul;2022;Híbrido
da Paz;9725616;Física;94.835.027/0001-48;Marcela Ribeiro;MG;Protesto;2024-05-08;05:44:23;Não;Inadimplente;3;True;False;False;False;True;True;False;True;4600.53;3020.43;18507.96;355;1;2024-09-22;23;D;Similique beatae eaque doloribus explicabo enim.;jose-miguel13;Casa;Sistema B;2896262;Física;Sampaio Pacheco - EI;aperiam;0484931744;ZBC-7N53;29805803319;Azul;2017;GNV
Câmara Pimenta Ltda.;7304419;Física;12.958.706/0001-40;Srta. Sabrina Rezende;MG;Pagamento;2024-05-12;02:20:56;Não;Cliente VIP;3;False;False;True;True;False;True;True;False;4218.56;2498.7;17076.96;64;7;2024-07-19;23;D;Dolore cumque distinctio.;silvabianca;Terreno;Sistema C;846994;Jurídica;Pastor S.A.;repellendus;3681691326;KPM-6T79;03124653014;Branco;2004;Híbrido
Oliveira das Neves S/A;0054675;Física;875.936.021-68;Isaque Santos;PE;Atraso;2024-10-02;23:49:17;Não;Inadimplente;1;True;True;False;False;True;False;True;True;2583.32;8509.83;626.23;266;7;2024-02-01;43;B;Fuga sunt culpa porro labore nihil.;isis33;Carro;Sistema C;1109189;Física;Leão;dignissimos;6434745571;BZK-4Y08;08215675223;Branco;2005;Gasolina
Rodrigues Ltda.;5319291;Jurídica;15.908.243/0001-08;Luara Novaes;AM;Pagamento;2024-08-08;04:15:44;Não;Inadimplente;5;False;False;True;False;True;False;True;False;5014.64;6086.94;9491.11;218;10;2024-03-23;42;B;Accusantium expedita officia.;leandrorezende;Moto;Sistema B;3014620;Jurídica;da Cunha Porto S/A;perferendis;9534452851;ETX-6D68;08211926752;Prata;2016;Híbrido
da Rocha;0724159;Física;79.548.216/0001-46;Yago Lopes;TO;Negociação;2024-09-17;10:14:30;Não;Cliente VIP;5;False;False;True;False;False;True;True;True;475.82;7961.01;10867.61;105;6;2024-08-30;54;D;Sapiente porro perferendis.;bsousa;Carro;Sistema C;6303523;Jurídica;Farias;occaecati;1324250383;SYC-4M05;59235800396;Vermelho;2021;Gasolina
Silveira;6611226;Física;742.518.369-28;Melissa Ferreira;SP;Pagamento;2024-09-04;02:05:21;Sim;Fidelizado;3;False;False;False;False;False;True;True;True;517.31;1731.06;13929.71;353;5;2024-04-08;10;B;Odit impedit nisi id.;brayan82;Carro;Sistema A;663789;Física;Teixeira da Rocha - ME;eveniet;4828063010;OYU-0D39;65604010158;Prata;2012;Gasolina
Castro S/A;6911864;Jurídica;961.745.308-84;Dra. Zoe Sampaio;BA;Negociação;2024-09-14;18:53:57;Sim;Fidelizado;1;False;True;False;False;False;False;False;True;4192.69;5248.12;12248.62;86;5;2024-04-21;56;B;Ab aperiam voluptatem.;omarques;Terreno;Sistema C;6981809;Jurídica;Lima;harum;2654245770;FVB-1G94;12558909685;Prata;2005;Etanol
Caldeira;4658875;Física;60.351.798/0001-48;Leandro Albuquerque;RO;Pagamento;2024-05-13;23:45:22;Sim;Fidelizado;5;True;False;False;True;True;True;False;False;5816.73;9124.12;14104.77;290;4;2024-07-08;4;C;Natus aspernatur similique nobis vel.;mateusda-costa;Terreno;Sistema A;7343582;Física;Cunha e Filhos;in;4352168183;NHU-4F62;70575016425;Branco;2021;Híbrido
Nascimento;8444382;Jurídica;154.798.236-55;Sra. Raquel Caldeira;AP;Atraso;2024-02-09;14:25:31;Sim;Cliente VIP;2;True;False;True;True;True;False;False;True;6616.33;465.17;11280.37;314;6;2024-03-30;26;B;Esse recusandae libero quidem quos.;salesbianca;Moto;Sistema C;2401466;Física;Aragão Rios - EI;vero;9791288558;DCP-3W43;34493867709;Prata;2002;Híbrido
da Cruz;7324800;Jurídica;620.315.847-07;Maria Cecília Correia;DF;Negociação;2024-05-02;19:07:00;Não;Recente;3;True;False;False;True;True;True;False;False;4623.41;5241.83;2627.62;214;7;2024-09-11;34;B;Quae minima neque harum.;samuelmendes;Terreno;Sistema C;2960261;Jurídica;Nogueira Almeida S/A;adipisci;6027441637;WFC-6I67;76514085926;Azul;2009;Diesel
da Luz Vasconcelos Ltda.;6263234;Física;72.638.590/0001-93;Nicolas Costa;PB;Pagamento;2024-01-14;14:25:22;Sim;Inadimplente;0;True;False;True;True;False;True;False;True;5122.91;7923.84;5277.69;156;6;2024-04-30;56;D;Debitis mollitia culpa.;apollo49;Casa;Sistema B;1346471;Jurídica;Alves;at;0648897829;YDM-4L49;79284140683;Prata;2016;Híbrido
Cavalcante;0774001;Física;50.463.972/0001-90;Pedro Lucas Novaes;SP;Negociação;2024-06-13;13:07:52;Sim;Fidelizado;1;False;False;False;False;False;True;True;False;1612.35;7710.83;7867.68;12;9;2024-08-05;23;D;Iste maxime eligendi.;razevedo;Moto;Sistema A;794495;Física;Sampaio S.A.;rem;4431871540;QLW-2X82;58535739615;Prata;2008;Híbrido
Barbosa da Conceição S.A.;8194179;Física;204.681.953-51;Antônio Cunha;RR;Protesto;2024-03-08;07:35:32;Sim;Recente;3;True;False;True;True;True;True;True;False;1644.37;5103.11;16752.41;171;7;2024-07-04;12;B;Deleniti id facilis voluptatibus nam.;melocecilia;Moto;Sistema C;8270200;Física;Machado;accusamus;7003509303;ULD-5Y20;05754872417;Preto;2022;GNV
Sousa e Filhos;7802288;Jurídica;794.261.058-67;Luigi Oliveira;PE;Protesto;2024-02-16;11:49:49;Não;Fidelizado;1;True;True;True;False;False;False;True;True;5545.98;8704.15;1905.12;102;0;2024-04-13;57;B;Tenetur hic temporibus quas ducimus reiciendis.;ferreiraana-julia;Moto;Sistema B;9180874;Física;Dias;non;2937053486;VNO-0V15;45046098946;Vermelho;2022;Diesel
Dias;9878039;Física;24.618.309/0001-08;Laís Camargo;SP;Negociação;2024-08-27;08:18:06;Não;Cliente VIP;4;False;True;False;True;True;False;True;False;3172.25;6725.67;6296.2;168;6;2024-08-28;45;A;Nemo consequuntur exercitationem.;dleao;Terreno;Sistema B;8765129;Física;Correia S.A.;dolor;6656829574;UYE-0E08;68127194158;Azul;2013;GNV
Moura;1963375;Jurídica;896.432.705-56;Maria Isis da Cunha;RR;Atraso;2024-02-14;01:01:52;Sim;Fidelizado;0;True;False;False;True;False;True;True;True;2576.96;8129.4;2464.65;291;4;2024-06-07;13;D;Deserunt numquam quam quis cupiditate adipisci.;da-cunhadiego;Moto;Sistema A;4498624;Jurídica;Guerra Pastor e Filhos;nisi;8683463398;ILX-6E32;01581087259;Preto;2002;Híbrido
Campos Lopes - ME;2368941;Física;607.812.943-04;Dra. Isabella Souza;PI;Protesto;2024-08-21;09:10:43;Não;Cliente VIP;5;True;True;False;True;True;False;False;False;3387.57;8555.42;804.08;139;7;2024-03-03;30;B;Minima ut impedit vero quasi doloremque.;maria-luizanogueira;Casa;Sistema B;9497149;Física;Teixeira;eum;3155871709;WFG-1H99;96630416728;Prata;2013;Diesel
Câmara Correia e Filhos;8692360;Jurídica;06.582.193/0001-12;Ian Silva;RS;Protesto;2024-09-12;16:37:20;Sim;Cliente VIP;4;False;False;True;True;False;False;True;True;4996.4;8306.52;3300.82;201;1;2024-07-18;35;D;Porro est hic.;ifreitas;Casa;Sistema B;5834605;Jurídica;Pereira S/A;perspiciatis;9342602484;HFX-7B08;17033498732;Prata;2013;Gasolina
Novais - EI;0676465;Física;56.913.802/0001-47;Miguel Machado;RR;Protesto;2024-07-15;21:29:28;Não;Fidelizado;4;False;True;True;False;True;False;False;False;958.93;6770.4;7346.69;88;3;2024-03-09;59;B;Iste sed nostrum dolore ad.;barrosrael;Terreno;Sistema A;7324560;Física;Sousa Sales S/A;deleniti;7808653746;HMJ-7D23;46806135157;Branco;2018;Etanol
Rocha e Filhos;1682784;Jurídica;16.329.485/0001-00;Joana Fogaça;AC;Negociação;2024-08-31;06:46:41;Sim;Cliente VIP;5;False;False;False;False;False;False;True;False;272.73;6788.78;16799.12;9;10;2024-05-28;2;D;Necessitatibus facere eum adipisci alias.;mgoncalves;Moto;Sistema B;8324143;Jurídica;da Costa;beatae;7065115009;ZIP-8N53;83620275586;Azul;2009;Híbrido
Rezende Brito S.A.;6730181;Física;873.529.014-50;Luigi Vargas;RJ;Pagamento;2024-07-30;04:19:21;Não;Inadimplente;1;True;False;False;False;True;False;False;False;221.41;6357.03;12006.33;149;9;2024-02-01;11;C;Aliquid veniam natus et.;siqueiracaroline;Terreno;Sistema B;7676326;Física;Rezende;quae;4363184739;EJH-3A35;92124302196;Prata;2016;Etanol
Machado;0188003;Física;25.307.186/0001-57;João Guilherme Campos;RR;Negociação;2024-03-01;00:38:43;Não;Recente;3;True;False;False;False;False;False;False;False;7405.9;329.43;2319.73;308;6;2024-04-04;53;A;Temporibus nam voluptatum reiciendis.;alexandre44;Terreno;Sistema B;4194634;Física;Albuquerque;quis;8929156688;SGY-6R74;55725935437;Branco;2018;Diesel
Moraes - EI;3784178;Jurídica;27.945.801/0001-86;Luísa da Mota;MS;Pagamento;2024-05-09;07:23:35;Não;Inadimplente;3;False;True;True;False;False;True;True;False;2629.11;9469.42;7574.93;198;3;2024-01-14;3;D;Laborum quod culpa ab eveniet saepe.;marceloleao;Terreno;Sistema B;1009530;Física;Azevedo;nobis;2693033245;NCC-4U16;05246254455;Azul;2006;Diesel
da Cunha;1212305;Física;12.308.594/0001-81;Ana Cecília Albuquerque;AP;Pagamento;2024-07-14;22:09:40;Sim;Cliente VIP;3;True;False;True;False;True;True;True;True;3970.51;1125.57;7253.82;354;6;2024-06-30;57;C;Ipsam dolores nobis.;catarinaalves;Moto;Sistema C;6441306;Jurídica;da Luz Mendonça e Filhos;in;7201165196;IKD-4Y04;77032142964;Azul;2016;Diesel
Pastor Vieira e Filhos;2206160;Jurídica;46.321.805/0001-38;Sra. Sophia Farias;SE;Pagamento;2024-06-09;02:50:01;Não;Recente;4;False;False;True;True;False;False;True;True;7962.24;3332.39;4991.62;308;10;2024-01-17;31;D;Voluptatum dicta aliquam.;oliveiraliam;Carro;Sistema A;3382878;Jurídica;Sampaio;error;4361822313;FVE-2E73;09187805012;Preto;2016;Híbrido
Ramos;9884583;Jurídica;623.549.708-38;Luiz Henrique Moraes;MT;Protesto;2024-05-11;14:28:59;Não;Fidelizado;0;False;False;False;False;True;False;True;True;5658.16;7666.94;19180.66;111;9;2024-04-19;10;B;Eveniet culpa voluptatum consequatur.;castroester;Carro;Sistema A;5943329;Jurídica;Jesus;animi;3175790397;KTO-0G77;40365225760;Azul;2009;Híbrido
Peixoto;1994480;Jurídica;96.310.742/0001-92;Beatriz Garcia;BA;Pagamento;2024-06-17;09:30:38;Sim;Cliente VIP;1;True;True;False;True;False;False;False;True;7814.89;8553.37;13966.8;159;3;2024-08-03;45;B;Sed dolores alias ut.;leticiaborges;Carro;Sistema A;2150856;Jurídica;Martins - ME;delectus;5905510112;CGG-3I33;03445933085;Branco;2019;Gasolina
Barbosa - EI;8449061;Jurídica;72.691.843/0001-92;Sr. Ryan Nascimento;AL;Negociação;2024-06-25;20:11:00;Não;Inadimplente;2;True;False;False;True;True;False;True;True;9020.79;9878.27;1195.21;194;2;2024-05-23;39;A;Architecto voluptatem accusamus libero sequi tempore.;henry-gabrielalbuquerque;Carro;Sistema A;2229846;Física;Marques;quaerat;4152892802;ABZ-8V27;80064849307;Prata;2011;Híbrido
Dias Sampaio - ME;9780957;Física;175.230.498-50;Sra. Maria Julia Aparecida;TO;Negociação;2024-04-01;05:55:26;Sim;Inadimplente;3;True;True;False;True;True;True;True;False;724.28;1843.76;8966.4;164;2;2024-07-19;22;A;Id incidunt tempora cum veniam.;lfogaca;Carro;Sistema B;9098183;Física;Brito;necessitatibus;5419735462;QJF-7K61;05614185828;Preto;2006;GNV
Pimenta;6936899;Jurídica;68.439.750/0001-06;Dra. Eduarda Pires;SP;Pagamento;2024-09-03;17:10:04;Sim;Inadimplente;1;True;True;True;True;False;True;True;True;8573.83;6857.09;7857.61;24;0;2024-03-22;50;C;Recusandae vero error vel ratione.;manuela93;Moto;Sistema A;5440658;Física;da Cunha Albuquerque S/A;vitae;5961835426;TKB-1L29;35342392007;Branco;2012;Híbrido
Rocha Ltda.;6314068;Jurídica;18.053.269/0001-00;Marcelo Jesus;RJ;Pagamento;2024-07-22;20:39:57;Não;Inadimplente;0;True;False;True;True;False;True;True;False;583.73;8568.29;16954.93;151;3;2024-04-25;53;D;Quod eveniet voluptates.;brunamoura;Terreno;Sistema C;3791135;Física;Brito S.A.;quaerat;3223468558;CAA-4H78;53184078337;Preto;2018;GNV
da Mata Ltda.;1567510;Jurídica;495.836.172-37;Valentim da Luz;BA;Atraso;2024-04-01;16:53:53;Sim;Recente;5;False;True;False;True;True;False;False;False;9421.9;179.51;5193.4;314;7;2024-07-08;9;D;Veniam eos consectetur blanditiis architecto culpa culpa.;vitoriacarvalho;Carro;Sistema C;4112090;Física;Barros Moraes S.A.;alias;2345991883;LHL-1R32;63547355856;Azul;2002;Gasolina
Souza;2153232;Física;23.967.058/0001-04;Kaique Cavalcanti;MT;Pagamento;2024-09-13;02:44:05;Sim;Fidelizado;2;True;True;False;False;True;False;False;True;982.2;3990.58;8060.55;318;10;2024-10-01;25;D;Delectus eaque sapiente animi fuga quod.;lunarocha;Terreno;Sistema B;9768629;Jurídica;Rezende;dolorem;4954842766;RDY-8S59;56141993942;Preto;2010;GNV
Gonçalves;7592409;Jurídica;85.947.201/0001-53;Sr. João Guilherme Macedo;AL;Pagamento;2024-09-28;00:34:30;Sim;Recente;0;False;True;True;True;False;False;False;True;1396.36;5821.09;4561.76;134;8;2024-02-15;41;A;Placeat iure ullam magni consectetur.;arthur81;Terreno;Sistema C;7944276;Física;Abreu - EI;sint;5104668942;VGN-3O65;78295191227;Vermelho;2017;Híbrido
Azevedo Moraes Ltda.;8323063;Jurídica;50.126.894/0001-39;Pedro Miguel da Luz;SE;Protesto;2024-08-20;23:13:28;Não;Fidelizado;3;False;True;True;False;False;False;True;False;7696.6;1928.87;9876.62;124;2;2024-07-15;59;C;Quos quos earum non assumenda.;vmendonca;Casa;Sistema C;2827040;Física;Pinto;mollitia;0440742956;JAX-6W68;25096185179;Azul;2019;Gasolina
Moreira;6950819;Jurídica;407.165.328-08;Ester Almeida;GO;Pagamento;2024-03-18;21:03:04;Não;Recente;1;True;True;True;True;True;True;True;False;1325.19;358.34;11826.04;293;8;2024-05-23;7;A;Cum nobis saepe vel eius.;fernandesgabrielly;Carro;Sistema B;4771222;Física;Mendes;nesciunt;5738142477;DGG-8V08;78965273228;Branco;2000;Etanol
das Neves;1449011;Jurídica;75.084.126/0001-90;Dr. Calebe Nogueira;AM;Negociação;2024-04-10;23:22:34;Não;Fidelizado;3;True;False;False;True;True;False;False;True;9583.69;4410.0;9244.94;271;7;2024-06-15;7;B;Voluptatem quae quia.;barbaraleao;Carro;Sistema A;7537367;Física;Andrade;repellendus;4385331287;LNC-8W15;89162167800;Vermelho;2017;Diesel
Melo;2104671;Física;53.712.609/0001-50;Lívia da Cunha;CE;Pagamento;2024-05-06;08:01:53;Não;Cliente VIP;5;True;True;True;True;False;True;True;True;3453.71;1489.41;16123.12;249;6;2024-03-21;41;A;Ipsam quae placeat expedita odio nemo.;raquel45;Terreno;Sistema A;2357713;Jurídica;Pimenta Aragão e Filhos;quibusdam;0448948817;AGC-8C61;14350160411;Preto;2019;Etanol
Aparecida Pimenta e Filhos;2836693;Física;957.860.123-95;Rafael Moura;PE;Pagamento;2024-07-11;06:06:28;Sim;Recente;2;True;False;True;True;False;True;True;True;2732.17;1596.5;8272.37;115;3;2024-09-02;2;C;Enim alias aliquid at.;marianedias;Casa;Sistema B;6120044;Jurídica;Mendes;nostrum;2293276119;TXE-6R37;14241609034;Preto;2020;Diesel
Viana Campos - EI;6618901;Física;964.873.215-91;Théo Pacheco;PE;Pagamento;2024-08-09;06:05:14;Sim;Fidelizado;2;True;True;True;True;True;False;False;True;2124.7;9228.41;10276.08;49;3;2024-07-21;31;B;Magnam illum ratione.;sophie10;Casa;Sistema C;2603840;Física;Pinto S/A;voluptates;2277846798;OJN-2K03;60664594806;Prata;2012;Gasolina
Aparecida;4100170;Jurídica;914.305.786-10;Raquel Costela;MT;Negociação;2024-07-22;06:54:45;Não;Inadimplente;1;True;True;True;True;True;True;False;True;3980.86;130.14;15864.54;334;3;2024-06-20;8;D;Odio corrupti delectus placeat.;eloahaparecida;Moto;Sistema C;4032050;Jurídica;Pinto;praesentium;5905716571;GVK-0N15;32130163956;Branco;2014;Diesel
Camargo S/A;0585532;Jurídica;71.264.390/0001-55;Pedro Lucas Ferreira;MT;Negociação;2024-01-17;04:29:40;Não;Inadimplente;2;False;True;False;True;False;True;True;False;2135.4;4721.77;14829.96;231;7;2024-02-03;26;B;Odit nam ipsum quam.;riosdavi-lucca;Carro;Sistema B;4886691;Jurídica;da Conceição;quo;8835424676;YBD-6C37;68279031135;Branco;2008;Gasolina
Jesus;0817089;Jurídica;23.086.419/0001-03;André Cardoso;ES;Atraso;2024-06-12;16:18:06;Não;Recente;5;False;True;True;True;False;False;True;True;6223.95;7971.49;8261.52;342;5;2024-07-10;29;B;Reiciendis consequatur esse sunt.;britoantonio;Moto;Sistema A;1735794;Física;Fonseca;amet;4770307579;QCG-0F34;97797016424;Branco;2013;Diesel
